SITE,SIDE,SITE_SIDE,MPAGROUP,MPA_STATUS,RESERVE,USE,REGION,YEAR_MPA,MPAAREANM2,MPASHORENM,lat_wgs84,lon_wgs84
ANACAPA_ADMIRALS,CEN,ANACAPA_ADMIRALS_CEN,Anacapa Island SMCA,reference,OUT,YES,ANA,0,8.1,2.2,-119.4252,34.002883
ANACAPA_ADMIRALS,E,ANACAPA_ADMIRALS_E,Anacapa Island SMCA,reference,OUT,YES,ANA,0,8.1,2.2,-119.418,34.003433
ANACAPA_ADMIRALS,W,ANACAPA_ADMIRALS_W,Anacapa Island SMCA,reference,OUT,YES,ANA,0,8.1,2.2,-119.434383,34.00775
ANACAPA_BLACK_SEA_BASS,CEN,ANACAPA_BLACK_SEA_BASS_CEN,,SMR,IN,YES,ANA,2003,0,0,-119.389183,34.0126
ANACAPA_EAST_FISH_CAMP,CEN,ANACAPA_EAST_FISH_CAMP_CEN,Anacapa Island SMR,reference,OUT,YES,ANA,0,11.7,3.3,-119.398067,34.001583
ANACAPA_EAST_FISH_CAMP,E,ANACAPA_EAST_FISH_CAMP_E,Anacapa Island SMR,reference,OUT,YES,ANA,0,11.7,3.3,-119.385783,34.0045
ANACAPA_EAST_FISH_CAMP,W,ANACAPA_EAST_FISH_CAMP_W,Anacapa Island SMR,reference,OUT,YES,ANA,0,11.7,3.3,-119.404167,34.003083
ANACAPA_EAST_ISLE,CEN,ANACAPA_EAST_ISLE_CEN,Anacapa Island SMR,SMR,IN,YES,ANA,1978,11.7,3.3,-119.363683,34.017667
ANACAPA_EAST_ISLE,E,ANACAPA_EAST_ISLE_E,Anacapa Island SMR,SMR,IN,YES,ANA,1978,11.7,3.3,-119.361133,34.017033
ANACAPA_EAST_ISLE,W,ANACAPA_EAST_ISLE_W,Anacapa Island SMR,SMR,IN,YES,ANA,1978,11.7,3.3,-119.371733,34.015867
ANACAPA_LIGHTHOUSE_REEF,CEN,ANACAPA_LIGHTHOUSE_REEF_CEN,Anacapa Island SMR,reference,OUT,YES,ANA,0,11.7,3.3,-119.363133,34.012783
ANACAPA_LIGHTHOUSE_REEF,E,ANACAPA_LIGHTHOUSE_REEF_E,Anacapa Island SMR,reference,OUT,YES,ANA,0,11.7,3.3,-119.36,34.0139
ANACAPA_LIGHTHOUSE_REEF,W,ANACAPA_LIGHTHOUSE_REEF_W,Anacapa Island SMR,reference,OUT,YES,ANA,0,11.7,3.3,-119.3725,34.010783
