Taxa,CommonName,Family,Order,Class,include,Juv.cut.cm,fishcode,WL_Non.standard,WL_a,WL_b,WL_W_units,WL_L_units,WL_input_length,WL_Reference_Notes,WL_Notes,LC.a._for_WL,LC.b._for_WL,LC_type_for_WL,LL_Reference_Notes_for_WL,LL_Equation_for_WL,VBGF.Linf,VBGF.k,VBGF.t0,VBGF.Linf.F,VBGF.k.F,VBGF.t0.F,VBGF.Linf.M,VBGF.k.M,VBGF.t0.M,VBGF_input_length,VBGF.Reference,VBGF_Reference_Notes,LC.a._for_VBGF,LC.b._for_VBGF,LC_type_for_VBGF,LL_reference_for_VBGF,LL_equation_for_VBGF,F_Type,F_a,F_b,F_L_units,F_input_length,DescriptionA,Output.units,F_Citation,Size_Mature_cm,SM_input_length,F_SM_Notes,guild,description,LETTER.6,Code,pisco_classcode,crane_code,VGR.code,RCCA.code,KFM.species.number,KFM.species.code,LTER.code,rigbase.fishcode,rigbase_Scientific_Name,rigbase_Common_Name,rigbase_sp_sub_gp,rigbase_species_grp,rigbase_Family,rigbase_category,spelling.old.name,Max_Length_fishbase,No.Lat,So.Lat,lim_min_in,TrophicGroup,BroadTrophic,Targeted,Notes_TG,Biomass_Buster
Atherinops affinis,topsmelt,Atherinopsidae,Atheriniformes,Actinopterygii,1,10,,NA,3.83E-06,3.238,g,mm,SL,Williams et al. 2013,,1.1934,-0.00192,REVERSE,Williams et al. 2013,TL= 1.1934 *SL + -0.0192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1.1934,-0.00192,REVERSE,Williams et al. 2013,TL= 1.1934 *SL + -0.0192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,water column  benthic foragers  schooling  diurnal herbivores,ATHAFF,14400,AAFF,AAFF,Atherinops affinis,,NA,,,,,,,,,,,37,50,23,NA,planktivore,planktivore,Non-targeted,,1
Atherinopsis californiensis,jacksmelt,Atherinopsidae,Atheriniformes,Actinopterygii,1,10,,NA,1.03E-05,3.0114,g,mm,SL,Williams et al. 2013,,1.2181,-0.23293,REVERSE,Williams et al. 2013,TL= 1.2181 *SL + -2.3293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1.2181,-0.23293,REVERSE,Williams et al. 2013,TL= 1.2181 *SL + -2.3293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,water column  pelagic mesocarnivores,ATHCAL,20011,ACAL,ACAL,Atherinopsis californiensis,,NA,,,,,,,,,,,45,44,28,NA,planktivore,planktivore,Non-targeted,,1
Artedius corallinus,coralline sculpin,Cottidae,Scorpaeniformes,Actinopterygii,1,3,CORAL,NA,3.19E-05,2.8831,g,mm,SL,Williams et al. 2013,,0.8414,-0.10798,TYPICAL,VRG unpublished data,(SL = aTL+b)cm,11.7,0.36,0,NA,NA,NA,NA,NA,NA,TL,used Clinocottus analis,,NA,NA,NA,VRG unpublished data,(SL = aTL+b)cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,,ARTCOR,36415,ACOR,ACOR,Artedius corallinus,,NA,,,CORAL,Artedius corallinus,coralline sculpin,SCULPIN,SCULPIN,Cottidae,,,14,48,30,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Anisotremus davidsonii,sargo,Haemulidae,Perciformes,Actinopterygii,1,10,,NA,1.64E-05,3.1266,g,mm,SL,Williams et al. 2013,,1.2345,0.5784,REVERSE,Williams et al. 2013,TL= 1.2345 *SL + 5.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,1.2345,0.5784,REVERSE,Williams et al. 2013,TL= 1.2345 *SL + 5.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,substrate associated  nocturnal generalists,ANIDAV,15600,ADAV,ADAV,Anisotremus davidsonii,Sargo,NA,,,,,,,,,,Anisotremus davidsoni,58,NA,NA,NA,benthic macro-invertivore,carnivore,Non-targeted,,1
Aulorhynchus flavidus,tubesnout,Aulorhynchidae,Gasterosteiformes,Actinopterygii,1,5,A_FLAV,NA,1.62E-07,3.43,g,mm,TL,Bayer 1980,,NA,NA,NA,,,19.9,0.5,-2.31,NA,NA,NA,NA,NA,NA,TL,Bayer 1980 ,TL cm,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,substrate associated  water column foragers  selective feeding  usually benthic refugers  diurnal,AULFLA,16800,AFLA,AFLA,Aulorhynchus flavidus,,NA,,,A_FLAV,Aulorhynchus flavidus,tubesnout,,,Gasterosteidae,,,18,57,27,NA,planktivore,planktivore,Non-targeted,,1
Alloclinus holderi,island kelpfish,Labrisomidae,Perciformes,Actinopterygii,1,5,A_HOLD,NA,0.008303,3.089217,g,cm,TL,Love unpublished data,,NA,NA,NA,,,NA,NA,NA,156.5,0.054,-1.1,32.3,0.57,-0.35,TL,used Heterostichus rostratus (Stepien 1986),,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,substrate associated  benthic foragers  pickers and scrapers  diurnal,ALLHOL,37501,AHOL,AHOL,Alloclinus holderi,,14027,Alloclinus holderi,AHOL,A_HOLD,Alloclinus holderi,island kelpfish,CLINID,CLINID,Clinidae,,,10,34,27,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Atractoscion nobilis,white seabass,Sciaenidae,Perciformes,Actinopterygii,1,10,A_NOBI,NA,2.97E-05,2.8724,g,mm,SL,Williams et al. 2013,,1.1527,1.1294,REVERSE,Williams et al. 2013,TL= 1.1527 *SL + 11.294,146.5,0.128,-0.2805,NA,NA,NA,NA,NA,NA,TL,Thomas 1968,TL cm,1.1527,1.1294,REVERSE,Williams et al. 2013,TL= 1.1527 *SL + 11.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,ATRNOB,15201,ANOB,ANOB,Atractoscion nobilis,,NA,,,A_NOBI,Atractoscion nobilis,white seabass,,,Sciaenidae,,,166,58,24,28,piscivore,piscivore,Targeted,,0
Anarrhichthys ocellatus,wolf-eel,Anarhichadidae,Perciformes,Actinopterygii,1,10,WOLFEL,NA,5.03E-06,3.091,g,mm,TL,RecFIN,,NA,NA,NA,,,62,0.14,-1.95,NA,NA,NA,NA,NA,NA,TL,used Cebidichthys violaceus (Marshall 1992),,NA,NA,NA,,,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,,ANAOCE,NA,AOCE,AOCE,Anarrhichthys ocellatus,,NA,,,WOLFEL,Anarrhichthys ocellatus,wolf-eel,WOLFFISH,WOLFFISH,Anarhichadidae,Other fishes,,240,57,32,NA,benthic macro-invertivore,carnivore,Non-targeted,,1
Apodichthys sactaerosae,kelp gunnel,Pholidae,Perciformes,Actinopterygii,1,10,,NA,1.12E-06,3.42744,g,mm,TL,used Gymnothorax mordax,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,ASAN,USAN,,,NA,,,,,,,,,,,NA,NA,NA,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Atherinopsidae,New World silversides,Atherinopsidae,Atheriniformes,Actinopterygii,1,10,,NA,3.83E-06,3.238,g,mm,SL,used Atherinops affinis,,1.1934,-0.00192,REVERSE,used Atherinops affinis,TL= 1.1934 *SL + -0.0192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,FishBase,TL=1.127SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,,NA,14300,ATHE,ATHE,Atherinopsidae,,NA,,,,,,,,,,Atherinops sp.,NA,NA,NA,NA,planktivore,planktivore,Non-targeted,,1
