commonname,mod_commonname,warning,caselle_targeted
Blacksmith,Blacksmith,,Non-targeted
Garibaldi,Garibaldi,,Non-targeted
Giant kelpfish,Giant kelpfish,,Non-targeted
Halfmoon,Halfmoon,,Non-targeted
Juvenile rockfish,Juvenile rockfish,,Non-targeted
Kelp surfperch,Kelp surfperch,,Non-targeted
Opaleye,Opaleye,,Non-targeted
Painted greenling,Painted greenling,,Non-targeted
Rainbow surfperch,Rainbow seaperch,manually modified caselle commonname to match vrg commonname,Non-targeted
Rock wrasse,Rock wrasse,,Non-targeted
Señorita,Senorita,manually modified caselle commonname to match vrg commonname,Non-targeted
Shiner perch,Shiner perch,,Non-targeted
Silversides,Silversides,,Non-targeted
Black-and-yellow rockfish,Black-and-yellow rockfish,,Targeted
Black surfperch,Black surfperch,,Targeted
Blue rockfish,Blue rockfish,,Targeted
Cabezon,Cabezon,,Targeted
california sheephead,california sheephead,,Targeted
Copper rockfish,Copper rockfish,,Targeted
Gopher rockfish,Gopher rockfish,,Targeted
Kelp bass,Kelp bass,,Targeted
Kelp rockfish,Kelp rockfish,,Targeted
Lingcod,Lingcod,,Targeted
Ocean whitefish,Ocean whitefish,,Targeted
Olive rockfish,Olive rockfish,,Targeted
Pile surfperch,Pile perch,manually modified caselle commonname to match vrg commonname,Targeted
Rubberlip surfperch,Rubberlip seaperch,manually modified caselle commonname to match vrg commonname,Targeted
Striped surfperch,Striped seaperch,manually modified caselle commonname to match vrg commonname,Targeted
,,,
