no_space,sci_name,year,pounds_caught
albacoretuna,NA,2000,25210
albacoretuna,NA,2001,38232
albacoretuna,NA,2002,379841
albacoretuna,NA,2003,349040
albacoretuna,NA,2004,16413
albacoretuna,NA,2005,21702
albacoretuna,NA,2006,37169
albacoretuna,NA,2007,13704
albacoretuna,NA,2008,6263
albacoretuna,NA,2009,1364
albacoretuna,NA,2010,22778
albacoretuna,NA,2011,39268
albacoretuna,NA,2012,34479
albacoretuna,NA,2013,53960
albacoretuna,NA,2014,19517
albacoretuna,NA,2015,17538
albacoretuna,NA,2016,6604
albacoretuna,NA,2017,1528
albacoretuna,NA,2018,232
americanshad,alosa sapidissima,2006,2
americanshad,alosa sapidissima,2009,1
armedboxcrab,platymera gaudichaudii,2008,774
armedboxcrab,platymera gaudichaudii,2009,461
armedboxcrab,platymera gaudichaudii,2010,717
armedboxcrab,platymera gaudichaudii,2011,47
armedboxcrab,platymera gaudichaudii,2012,95
armedboxcrab,platymera gaudichaudii,2013,64
armedboxcrab,platymera gaudichaudii,2016,50
armedboxcrab,platymera gaudichaudii,2017,9
armedboxcrab,platymera gaudichaudii,2018,2
arrowtoothflounder,atheresthes stomias,2000,5
arrowtoothflounder,atheresthes stomias,2014,189
aurorarockfish,sebastes aurora,2002,28
aurorarockfish,sebastes aurora,2003,173
aurorarockfish,sebastes aurora,2004,276
aurorarockfish,sebastes aurora,2005,189
aurorarockfish,sebastes aurora,2006,45
aurorarockfish,sebastes aurora,2007,86
aurorarockfish,sebastes aurora,2008,54
aurorarockfish,sebastes aurora,2009,156
aurorarockfish,sebastes aurora,2010,119
aurorarockfish,sebastes aurora,2011,40
aurorarockfish,sebastes aurora,2012,42
aurorarockfish,sebastes aurora,2013,23
aurorarockfish,sebastes aurora,2014,1
aurorarockfish,sebastes aurora,2015,2
aurorarockfish,sebastes aurora,2016,15
aurorarockfish,sebastes aurora,2017,71
aurorarockfish,sebastes aurora,2018,63
bankrockfish,sebastes rufus,2004,22
bankrockfish,sebastes rufus,2005,543
bankrockfish,sebastes rufus,2006,566
bankrockfish,sebastes rufus,2007,118
bankrockfish,sebastes rufus,2008,17
bankrockfish,sebastes rufus,2009,36
bankrockfish,sebastes rufus,2010,107
bankrockfish,sebastes rufus,2011,198
bankrockfish,sebastes rufus,2012,742
bankrockfish,sebastes rufus,2013,374
bankrockfish,sebastes rufus,2014,778
bankrockfish,sebastes rufus,2015,308
bankrockfish,sebastes rufus,2016,61
bankrockfish,sebastes rufus,2017,561
bankrockfish,sebastes rufus,2018,400
barnacle,semibalanus balanoides,2010,125
barnacle,semibalanus balanoides,2014,20
barredsurfperch,amphistichus argenteus,2001,29
barredsurfperch,amphistichus argenteus,2002,202
barredsurfperch,amphistichus argenteus,2003,1383
barredsurfperch,amphistichus argenteus,2004,9359
barredsurfperch,amphistichus argenteus,2005,5166
barredsurfperch,amphistichus argenteus,2006,2956
barredsurfperch,amphistichus argenteus,2007,935
barredsurfperch,amphistichus argenteus,2008,99
barredsurfperch,amphistichus argenteus,2009,31
barredsurfperch,amphistichus argenteus,2010,139
barredsurfperch,amphistichus argenteus,2011,841
barredsurfperch,amphistichus argenteus,2012,640
barredsurfperch,amphistichus argenteus,2013,1303
barredsurfperch,amphistichus argenteus,2014,2973
barredsurfperch,amphistichus argenteus,2015,1584
barredsurfperch,amphistichus argenteus,2016,1972
barredsurfperch,amphistichus argenteus,2017,808
baskingshark,cetorhinus maximus,2000,76
baskingshark,cetorhinus maximus,2004,77
batray,myliobatis californica,2000,88
batray,myliobatis californica,2001,15
batray,myliobatis californica,2003,16
batray,myliobatis californica,2004,209
batray,myliobatis californica,2007,5422
batray,myliobatis californica,2009,577
batray,myliobatis californica,2010,131
batray,myliobatis californica,2012,157
batray,myliobatis californica,2013,120
batray,myliobatis californica,2014,1759
batray,myliobatis californica,2015,12128
batray,myliobatis californica,2016,3949
batray,myliobatis californica,2017,12723
batray,myliobatis californica,2018,60585
batstar,NA,2017,938
bayshrimp,NA,2011,0
bayshrimp,NA,2016,10
bigeyethreshershark,alopias superciliosus,2000,358
bigeyethreshershark,alopias superciliosus,2003,631
bigeyethreshershark,alopias superciliosus,2004,215
bigeyethreshershark,alopias superciliosus,2005,170
bigeyethreshershark,alopias superciliosus,2007,200
bigeyethreshershark,alopias superciliosus,2008,166
bigeyethreshershark,alopias superciliosus,2009,659
bigeyethreshershark,alopias superciliosus,2013,41
bigeyethreshershark,alopias superciliosus,2016,101
bigeyethreshershark,alopias superciliosus,2017,375
bigeyetuna,thunnus obesus,2000,17590
bigeyetuna,thunnus obesus,2001,13890
bigeyetuna,thunnus obesus,2002,12929
bigeyetuna,thunnus obesus,2003,43466
bigeyetuna,thunnus obesus,2004,33386
bigeyetuna,thunnus obesus,2005,19152
bigeyetuna,thunnus obesus,2006,68501
bigeyetuna,thunnus obesus,2007,25480
bigeyetuna,thunnus obesus,2008,48383
bigeyetuna,thunnus obesus,2009,24951
bigeyetuna,thunnus obesus,2010,62219
bigeyetuna,thunnus obesus,2011,66517
bigeyetuna,thunnus obesus,2012,78918
bigeyetuna,thunnus obesus,2013,51449
bigeyetuna,thunnus obesus,2014,69974
bigeyetuna,thunnus obesus,2015,133606
bigeyetuna,thunnus obesus,2016,53524
bigeyetuna,thunnus obesus,2017,42621
bigmouthsole,hippoglossina stomata,2016,1
bigmouthsole,hippoglossina stomata,2017,1
bigskate,raja binoculata,2007,12
bigskate,raja binoculata,2008,123
bigskate,raja binoculata,2009,11
black-and-yellowrockfish,sebastes chrysomelas,2000,34
black-and-yellowrockfish,sebastes chrysomelas,2001,201
black-and-yellowrockfish,sebastes chrysomelas,2002,217
black-and-yellowrockfish,sebastes chrysomelas,2003,125
black-and-yellowrockfish,sebastes chrysomelas,2004,93
black-and-yellowrockfish,sebastes chrysomelas,2005,167
black-and-yellowrockfish,sebastes chrysomelas,2006,30
